"","Abalistes stellaris","Acanthopagrus berda","Acanthurus blochii","Actinopterygii","Albula sp FW_017_05","Anthozoa","Anyperodon leucogrammicus","Apogon ellioti","Apogon hyalosoma","Aprion virescens","Arothron hispidus","Arothron manilensis","Arothron stellatus","Asteroidea","Asterorhombus intermedius","Atule mate","Benthic autotroph","Bivalvia","Bodianus perditio","Carangoides chrysophrys","Carangoides coeruleopinnatus","Carangoides ferdau","Carangoides fulvoguttatus","Carangoides gymnostethus","Carangoides orthogrammus","Carangoides sp FW_017_05","Caranx ignobilis","Caranx papuensis","Caranx sexfasciatus","Caranx sp FW_017_05","Carcharhinus albimarginatus","Carcharhinus melanopterus","Cephalopholis argus","Cephalopholis boenak","Cephalopholis miniata","Cephalopholis sonnerati","Cephalopoda","Chanos chanos","Cheilinus chlorourus","Cheilinus undulatus","Cheilodipterus macrodon","Chirocentrus dorab","Choerodon graphicus","Coris aygula","Cymbacephalus staigeri","Dactyloptena orientalis","Decapoda sp1 FW_017","Dendrochirus brachypterus","Detritus","Diagramma pictum","Drepane punctata","Echeneis naucrates","Echinoidea","Elops machnata","Engyprosopon grandisquama","Epinephelus areolatus","Epinephelus coeruleopunctatus","Epinephelus coioides","Epinephelus cyanopodus","Epinephelus fasciatus","Epinephelus howlandi","Epinephelus macrospilos","Epinephelus maculatus","Epinephelus malabaricus","Epinephelus merra","Epinephelus ongus","Epinephelus polyphekadion","Epinephelus rivulatus","Foraminifera sp1 FW_017","Gastropoda","Gazza minuta","Gerres filamentosus","Grammatobothus polyophthalmus","Gymnocranius euanus","Gymnocranius grandoculis","Gymnocranius sp FW_017_05","Hemiramphus far","Holothuroidea","Kyphosus vaigiensis","Lagocephalus sceleratus","Leptomelanosoma indicum","Lethrinus atkinsoni","Lethrinus genivittatus","Lethrinus harak","Lethrinus lentjan","Lethrinus nebulosus","Lethrinus obsoletus","Lethrinus olivaceus","Lethrinus rubrioperculatus","Lethrinus semicinctus","Lethrinus xanthochilus","Lutjanus adetii","Lutjanus argentimaculatus","Lutjanus bohar","Lutjanus fulviflamma","Lutjanus fulvus","Lutjanus gibbus","Lutjanus kasmira","Lutjanus quinquelineatus","Lutjanus rivulatus","Lutjanus russellii","Lutjanus sebae","Lutjanus semicinctus","Lutjanus vitta","Megalops cyprinoides","Monodactylus argenteus","Monotaxis grandoculis","Mulloidichthys flavolineatus","Muraenesox bagio","Naso unicornis","Nemipterus peronii","Nemipterus zysron","Neoniphon sammara","Neopomacentrus nemurus","Neotrygon kuhlii","Onigocia macrolepis","Ophiuroidea sp1 FW_017","Parupeneus ciliatus","Parupeneus heptacanthus","Parupeneus indicus","Platax orbicularis","Platax pinnatus","Plectorhinchus albovittatus","Plectorhinchus chaetodonoides","Plectorhinchus gibbosus","Plectorhinchus lineatus","Plectorhinchus picus","Plectropomus leopardus","Pomacentrus adelus","Pomadasys argenteus","Porifera","Priacanthus hamrur","Pseudalutarius nasicornis","Pseudobalistes fuscus","Pseudocaranx dentex","Pterois lunulata","Sargocentron diadema","Sargocentron rubrum","Sargocentron spiniferum","Saurida gracilis","Saurida undosquamis","Scaphopoda","Scatophagus argus","Scolopsis taenioptera","Scomberoides tol","Scomberomorus commerson","Siganus argenteus","Siganus doliatus","Siganus fuscescens","Siganus lineatus","Siganus punctatus","Sillago ciliata","Sillago sihama","Sillago sp FW_017_05","Sphyraena acutipinnis","Sphyraena barracuda","Sphyraena forsteri","Sphyraena jello","Sphyraena obtusata","Sphyraena pinguis","Sphyraena putnamae","Sphyrna lewini","Stomatopoda","Strophidon sathete","Sufflamen fraenatum","Symphorus nematophorus","Synodus dermatogenys","Synodus hoshinonis","Synodus sp FW_017_05","Synodus variegatus","Terapon jarbua","Trichiurus lepturus","Tylosurus crocodilus","Upeneus australiae","Upeneus japonicus","Upeneus moluccensis","Upeneus tragula","Upeneus vittatus","Variola louti","Worm","Zebrasoma velifer","Zooplankton"
"Arothron hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron manilensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron stellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asterorhombus intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atule mate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0,0.04,1,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.06,0,0.33,0,0,0,0,0,0,0,0,0,0,0.75,0,0.11,0,0,0,0,0,1,0.01,0,0,0.22,0,0,0,0,0,0.06,0,0,0,1,0,0,0,1,1,1,1,0.43,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bivalvia",0.31,0.1,0,0,0.25,0,0,0,0,0,0.45,0.36,0.4,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.11,0,0,0,0.1,0,0,0.06,0,0,0,0.12,0,0.03,0,0,0,0,0,0,0.24,0,0.5,0.33,0.47,0,0,0,0.06,0,0.33,0.18,0.05,0.17,0.64,0.14,0.06,0.06,0.05,0.06,0.06,0,0.02,0.01,0,0.04,0,0.06,0.33,0,0,0,0,0,0.15,0.57,0,0,0,0.03,0.02,0,0,0.1,0,0,0,0.01,0.31,0,0,0.11,0.33,0,0,0,0,0,0.38,0,0,0,0.57,0,0,0,0,0.06,0,0,0,0,0.37,0,0,0,0,0,0,0,0.2,0.11,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.11,0,0.06,0.03,0.4,0,0,0,0
"Bodianus perditio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides chrysophrys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides coeruleopinnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides ferdau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides fulvoguttatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides gymnostethus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carangoides orthogrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
